Volume Fraction,Matrix Type,Fibre Type,Matrix Elastic Modulus,Matrix Poisson Ratio,Fibre Density,Fibre Elastic Modulus,Fibre Poisson Ratio,Strain Rate,Fibre Shape,Composite Yield Strain
0.17138335,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,0.035006676
0.37689307,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.3,1.0,0.029390043
0.4749973,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.009675109
0.170249,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.3,1.0,0.02052187
0.3377502,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,1.0,0.012101658
0.12224308,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,0.039790355
0.0965329,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,1.0,0.017932223
0.1024796,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.014622812
0.33676493,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.1,2.0,0.012786814
0.38684064,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,0.02710185
0.37960234,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,1.0,0.015819425
0.10123239,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.017567022
0.061759602,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.030783774
0.05964209,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,1.0,0.028979832
0.37088037,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.016283348
0.19909771,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,0.036551706
0.1662499,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.2,1.0,0.014280634
0.3908361,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.011935849
0.087655894,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.019061316
0.30758253,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.3,1.0,0.017575946
0.21264243,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.3,1.0,0.015059161
0.45979488,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.3,1.0,0.023811663
0.2467056,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.012683565
0.07777018,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.3,1.0,0.024493936
0.49460334,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.009885655
0.2517734,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.017787354
0.05944271,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,1.0,0.026026115
0.0729197,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.3,1.0,0.044141077
0.077250645,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.3,1.0,0.019588334
0.45891055,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,0.018706866
0.49652869,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.009885655
0.2053681,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.2,1.0,0.035552863
0.47999087,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.2,1.0,0.009741096
0.44660234,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.010420892
0.1456396,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,1.0,0.015971981
0.4130161,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,1.0,0.025995726
0.35821265,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.010208411
0.48258033,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.1,1.0,0.00883931
0.47391772,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.2,1.0,0.011337224
0.31019503,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.016351152
0.12585247,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.0135732405
0.20640172,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.2,1.0,0.014001882
0.082199305,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.1,1.0,0.026011055
0.25644284,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.014193882
0.43090686,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.014473563
0.29754522,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.3,1.0,0.018681245
0.20285119,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.2,1.0,0.021032434
0.20035361,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.2,1.0,0.021264905
0.16450496,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.3,1.0,0.018627284
0.12703997,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,2.0,0.018891277
0.2978782,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.010323578
0.45121163,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.00907891
0.14286073,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.3,1.0,0.021483172
0.4783175,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.3,1.0,0.01137833
0.48325673,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.009031942
0.4685135,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,1.0,0.011901523
0.14700495,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.1,2.0,0.019117074
0.42865705,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.2,1.0,0.015537659
0.21697646,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.2,1.0,0.020152874
0.4770928,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.011470401
0.20972951,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.011815965
0.06335335,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.02340772
0.38562062,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.1,1.0,0.015341675
0.14780363,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,0.038207684
0.44021907,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.01055584
0.44964537,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.1,2.0,0.010606351
0.40680206,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.3,1.0,0.010505545
0.27782005,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.3,1.0,0.018786553
0.29622507,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.3,1.0,0.012413975
0.19330476,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.020087792
0.06496461,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,1.0,0.028508106
0.062089704,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,0.042969044
0.36706758,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.009298039
0.18197647,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.011777381
0.19138612,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,0.035006676
0.45453748,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,0.024368968
0.29488313,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.2,1.0,0.03063613
0.17924169,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.3,1.0,0.023230407
0.27478614,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.2,1.0,0.012823586
0.31489864,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.2,1.0,0.018206414
0.37405035,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.2,1.0,0.01666137
0.31007382,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.016865198
0.46657205,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.1,2.0,0.008419404
0.06286412,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,2.0,0.03940744
0.33231702,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,0.0307263
0.47244802,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.011673697
0.3620087,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.3,1.0,0.016236555
0.45247555,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.012647222
0.10069779,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,1.0,0.024121063
0.11025458,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.3,1.0,0.024958158
0.32685155,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,0.024299482
0.20970392,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.3,1.0,0.018627284
0.06248815,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.1,2.0,0.025010856
0.316051,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.3,1.0,0.017322123
0.42216673,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.1,2.0,0.009072191
0.41133317,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.2,1.0,0.015975565
0.2177291,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,1.0,0.014219699
0.07371429,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,0.03863173
0.05836358,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.019532835
0.15839568,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.2,1.0,0.022169696
0.17663383,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,0.02872314
0.48214388,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.3,1.0,0.011215159
0.061206758,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.030951612
0.17993335,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.016299114
0.066961475,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.2,1.0,0.029224684
0.32485324,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.015819546
0.17984034,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.2,1.0,0.018959511
0.42571756,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,1.0,0.0111409
0.25391564,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,0.024299482
0.08773672,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,0.03648894
0.089258,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.3,1.0,0.018491395
0.43989098,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.00907891
0.28908804,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.012922892
0.4418555,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.012987183
0.23302417,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.015081995
0.38622493,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,0.017666858
0.07700394,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.025646169
0.3164937,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.1,2.0,0.014339998
0.079410896,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,2.0,0.015046035
0.44794044,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,1.0,0.01333533
0.49123824,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,0.011984416
0.21283491,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.2,1.0,0.018886298
0.40118355,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.00970633
0.16734478,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.2,1.0,0.015118011
0.44525465,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.2,1.0,0.02196396
0.26370293,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,2.0,0.015268128
0.32962084,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,1.0,0.017673679
0.4168204,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.011935849
0.37420785,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.1,1.0,0.027407618
0.33641753,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,0.025142971
0.39754754,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,0.027896184
0.48336667,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.1,1.0,0.010569298
0.11604278,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,0.04017581
0.48641768,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.3,1.0,0.010486407
0.34977883,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,0.024299482
0.44113708,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.012707141
0.3530067,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,0.019842558
0.13521177,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.3,1.0,0.039403655
0.33924836,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.3,1.0,0.031521793
0.21066594,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.011815965
0.40183318,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.010672723
0.325667,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.009751775
0.08732252,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.1,1.0,0.026011055
0.15332058,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.022214275
0.46444502,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.2,1.0,0.022209657
0.49427778,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,1.0,0.011308321
0.4138955,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,1.0,0.01458217
0.119108096,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,1.0,0.038188882
0.11040304,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.3,1.0,0.017141681
0.06981666,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.02239984
0.30321813,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,0.033002216
0.40945014,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.1,2.0,0.019445311
0.10200464,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.025076661
0.059649725,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.3,1.0,0.025312254
0.11206541,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.1,1.0,0.025692454
0.46003476,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.1,1.0,0.009675473
0.41958916,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.014333052
0.21553372,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.3,1.0,0.02136392
0.24272391,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.3,1.0,0.014010106
0.4414934,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.012707141
0.10156958,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,0.03408379
0.10641871,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.025717925
0.10789869,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.3,1.0,0.021670189
0.34569755,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.010324694
0.41692537,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,0.027316535
0.1240109,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.019481568
0.4461095,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.1,2.0,0.010606351
0.35043174,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,1.0,0.01820547
0.06716959,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,1.0,0.043155942
0.2141623,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.2,1.0,0.035552863
0.20215978,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,1.0,0.021504587
0.4846495,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.3,1.0,0.010631448
0.06345514,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.019932242
0.08658747,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,1.0,0.025112689
0.20156875,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,2.0,0.016871853
0.23702689,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,0.03382708
0.08620863,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.3,1.0,0.026311753
0.4155285,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.3,1.0,0.014447093
0.08441449,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.017917106
0.22694206,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,2.0,0.016157411
0.12976582,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,1.0,0.015782425
0.2661031,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.014110867
0.2780054,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.3,1.0,0.012853184
0.13887085,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,1.0,0.016320977
0.4354341,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.2,1.0,0.013996813
0.20021182,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.1,1.0,0.035664745
0.23591636,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.2,1.0,0.013703958
