Volume Fraction,Matrix Type,Fibre Type,Matrix Elastic Modulus,Matrix Poisson Ratio,Fibre Density,Fibre Elastic Modulus,Fibre Poisson Ratio,Strain Rate,Fibre Shape,Resilience
0.34612426,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.18854487
0.3802323,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.3,1.0,0.1896665
0.28068694,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.18961416
0.42284048,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.3,1.0,0.18947849
0.4070648,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.3,1.0,0.18974522
0.29466638,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,1.0,0.18929726
0.1635699,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,1.8831375
0.14563926,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.18973461
0.10893828,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,3.143511
0.2452369,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,1.0,0.18973517
0.18969657,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.3,1.0,0.1896665
0.23281388,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.2,1.0,0.18963568
0.26634142,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.18849286
0.14869061,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,2.0,0.18856104
0.09549682,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.2,1.0,3.1852129
0.16242275,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,1.0,0.19028124
0.086182,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.2,1.0,0.19046137
0.06750491,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,1.0,0.19086134
0.26688576,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.2,1.0,0.18963568
0.40671325,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.2,1.0,2.4257705
0.4723845,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.18946525
0.41466275,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,2.0,0.18848546
0.3330511,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.19010629
0.13870083,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.18973461
0.41007757,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.2,1.0,2.4006653
0.2875332,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,1.0,0.18989262
0.09528035,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,3.143511
0.45754802,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,1.0,0.19033484
0.24343573,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.2,1.0,0.18963568
0.06364515,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.2,1.0,3.421846
0.07946556,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,1.0,0.19107883
0.31424126,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.2,1.0,0.1893588
0.2943448,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,1.0,2.6619701
0.17757738,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.18844922
0.400551,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,1.0,0.19027014
0.3903457,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.1,1.0,0.18987952
0.3743825,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.2,1.0,0.18934005
0.33227685,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.3,1.0,0.1896665
0.09324047,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.2,1.0,0.18969476
0.3974164,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.3,1.0,0.1893568
0.06603493,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.18857749
0.13374756,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.1,2.0,0.18860368
0.16161199,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.2,1.0,0.18970843
0.07295314,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,2.0,0.18856104
0.20665465,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.1902317
0.20648381,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,3.0519433
0.11500503,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.3,1.0,0.19015221
0.3131308,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.1,1.0,0.18999042
0.14078084,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.19010629
0.35724556,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,1.0,0.18929726
0.2829524,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,2.7515557
0.18880117,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.1,2.0,1.71041
0.43760428,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,2.2365515
0.48008782,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,2.2818308
0.27964926,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.18973461
0.3027856,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.19010629
0.45491615,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.1,2.0,1.0119454
0.14523225,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.18854487
0.19200417,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,2.8526437
0.44575346,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,1.1174088
0.39299518,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,1.0,0.19004942
0.16719383,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.18973461
0.06555371,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.19010629
0.2899794,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.3,1.0,0.18958922
0.13532825,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.1,2.0,0.18854053
0.24321935,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.18972763
0.12212164,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,1.0,0.19033484
0.44450334,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.18923903
0.30830854,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,2.7285352
0.22637191,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,1.0,2.94572
0.07243003,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,1.9124146
0.4238974,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.2,1.0,0.19004053
0.28904024,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,2.5611825
0.12527798,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.3,1.0,3.1825368
0.45540735,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.18961416
0.063628346,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.3,1.0,0.18958922
0.35698104,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,1.0,0.19033484
0.23635499,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,2.6567185
0.093455195,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,1.0,0.19015248
0.43562558,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.18842998
0.40256554,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.1,2.0,0.18852861
0.15480752,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,3.1420102
0.4438775,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,1.0,0.18982723
0.2598291,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.18961416
0.26451427,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.1902317
0.1124198,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,1.0,0.189975
0.24800119,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.1896891
0.054231174,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,3.3208995
0.4811813,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.2,1.0,0.18909532
0.47767356,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.1884347
0.40536427,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.18961416
0.36335528,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.3,1.0,0.18963405
0.29812685,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.3,1.0,0.18968649
0.33365256,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.3,1.0,2.6523705
0.23863685,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.18973461
0.07616932,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.3,1.0,0.18958922
0.20835179,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.1896891
0.322587,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.1896891
0.13263565,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,1.0,0.1894018
0.39051616,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.3,1.0,2.5720384
0.20601454,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.3,1.0,0.18957452
0.054513626,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,2.620956
0.108692564,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.1896891
0.40197283,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.2,1.0,2.431767
0.45819837,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.2,1.0,0.18909532
0.06453461,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.18997732
0.48507604,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,1.0,0.19017407
0.12829462,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,1.0,3.2037823
0.4534921,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.18849967
0.33921504,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.1,1.0,0.18987952
0.10575627,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.2,1.0,0.18963568
0.34924,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.18972763
0.3012861,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.18854322
0.2461477,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.2,1.0,0.1893588
0.42058855,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.1,1.0,0.1900073
0.3898703,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.1884347
0.3303481,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.1896891
0.13760124,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.3,1.0,0.19013298
0.08168253,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.2,1.0,0.19020812
0.41217932,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.2,1.0,0.1895726
0.46632877,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.3,1.0,0.1896729
0.3032212,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,2.0,0.18847099
0.433881,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.18842998
0.19823343,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.18854322
0.058154847,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.3,1.0,0.190388
0.05029348,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.3,1.0,0.1897733
0.3536342,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.18854487
0.050944086,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,1.0,0.1901976
0.20600201,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.1,2.0,0.188564
0.07025011,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.2,1.0,0.19020812
0.115217365,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.2,1.0,0.18934005
0.46990842,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.18987885
0.4220207,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.18849967
0.09538821,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.18854487
0.419582,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.1,1.0,0.18956165
0.22778672,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,3.0519433
0.45134413,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.18973461
0.16561921,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.1,2.0,0.18853796
0.082833216,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.3,1.0,0.19045827
0.35986686,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.3,1.0,0.18974522
0.4666433,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.3,1.0,0.18953808
0.077930145,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.19119287
0.3460568,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,1.0,0.18981744
0.4250712,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,2.2818308
0.41564533,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.18849286
0.3245639,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.18849286
0.11851915,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,3.143511
0.064488925,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,3.3746338
0.055828165,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.2,1.0,3.4328952
0.43841958,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.3,1.0,0.18974522
0.2028726,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.2,1.0,0.18947518
0.12556535,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.2,1.0,0.19004053
0.19946289,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.2,1.0,0.19031563
0.11848877,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.18987057
0.17322414,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.1,2.0,0.1884737
0.36762863,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,2.0,1.5219432
0.46750358,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,2.2818308
0.40903732,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.19005789
0.1806262,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.3,1.0,0.1893568
0.060075182,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.19101831
0.34805468,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,1.0,0.18973517
0.43719319,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.3,1.0,0.18974522
0.16124468,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,1.8831375
0.3713848,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.3,1.0,0.1896729
0.2011622,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.1,2.0,0.188564
0.3360229,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.3,1.0,0.18974522
0.34562567,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.1,2.0,0.18846984
0.13529545,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.2,1.0,0.18934005
0.48810005,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,1.0,0.18970564
0.23702462,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,1.6535915
0.07569436,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.18849286
0.25826347,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.2,1.0,0.19004053
0.27782148,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,1.6535915
0.33104444,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.3,1.0,0.1893568
0.28558686,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.19010091
0.08942259,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.18854487
0.45296386,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.2,1.0,0.1895726
0.05307642,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.19101831
0.121373035,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.2,1.0,0.18989702
0.37999335,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,1.0,0.19004942
0.10562965,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,1.9124146
0.3376622,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,1.5393292
0.13487463,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.3,1.0,0.18957452
0.16007198,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.18854322
0.4807383,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.1895715
0.27696896,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.1902317
0.45418653,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.1884347
0.47456402,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,1.0570794
0.3097733,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.18972763
0.2876517,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.1,2.0,0.188564
0.34672955,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,2.0,0.18847641
0.44018167,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,1.0,0.18973517
0.4446063,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,1.149279
0.05163704,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.2,1.0,0.19108608
0.09835177,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.188769
0.060352523,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.2,1.0,0.19013989
0.46446514,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.2,1.0,1.910461
0.18242191,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,2.0,0.18851782
0.3481498,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,1.0,0.18982723
0.2897757,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.18844922
0.23994488,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.1,1.0,3.0000527
0.3424139,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,1.5393292
0.2919906,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,2.4892235
0.16526054,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.1,1.0,0.19025688
0.30812806,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,2.6062276
0.19349842,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.3,1.0,0.18992823
0.40635768,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,1.1591784
0.22278813,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.19010629
0.38177246,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,2.0,1.324256
0.30101842,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.3,1.0,2.6160755
0.38859183,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.3,1.0,2.6523705
0.47022453,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.18849967
0.4290864,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.18961416
0.20112133,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.18849286
0.46811295,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.1,1.0,0.1900073
0.055055548,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.19119287
0.18947296,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.2,1.0,3.001813
0.33853474,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,1.0,0.18982723
0.26187962,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,1.0,0.18973517
0.10997336,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,1.0,3.2037823
0.19372937,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.3,1.0,0.18961103
0.3167388,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.18844922
0.3983635,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,2.3276067
0.060246862,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.1,2.0,2.1163604
0.3018697,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.19010091
0.2829232,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.3,1.0,0.1893568
0.43729806,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.1,1.0,0.18956165
0.39981377,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.1,1.0,0.18987952
0.31729397,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.19010091
0.37561783,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.3,1.0,0.18963405
0.1982348,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.3,1.0,0.18968649
0.29754826,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.19010629
0.3461632,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,1.3938509
0.41838264,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.18948333
0.4443242,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.3,1.0,0.1896729
0.24622871,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,2.0,0.18854322
0.29509643,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,2.4892235
0.09670685,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.18854487
0.21922973,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.1,2.0,0.18852861
0.09331896,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,1.0,0.19006933
0.11954927,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,1.0,3.2222798
0.41002926,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.2,1.0,2.2740562
0.33183008,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,1.0,0.18989262
0.45222703,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.3,1.0,0.1896729
0.17772861,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.19040206
0.44163048,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,1.0,0.19027014
0.4528347,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,2.0,0.18842204
0.38456976,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,2.4473672
0.38819864,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.3,1.0,0.1896665
0.064117804,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.3,1.0,0.19015221
0.15786059,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.18849286
0.08417332,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,2.0,0.18856104
0.29773292,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,1.0,0.18929726
0.2657501,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.18844922
0.2618976,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.3,1.0,0.18968649
0.314031,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,1.0,0.19004942
0.05026642,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.2,1.0,0.19026132
0.29237163,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.1,1.0,2.65018
0.47031105,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.2,1.0,0.18948957
0.45429006,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,2.2818308
